epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,286.173,1.89665,2.57013,2.06718,0.15343,0.16667,0.08199,0.03186,2.46676,3.59004,2.62842,0.000643101,0.000643101,0.000643101
43,291.576,1.87435,2.56902,2.03963,0.16728,0.21264,0.08733,0.03601,2.47664,3.3934,2.60481,0.000628101,0.000628101,0.000628101
44,296.963,1.77555,2.46295,1.93157,0.18685,0.19253,0.11457,0.05269,2.4836,3.19758,2.59243,0.000612981,0.000612981,0.000612981
45,302.424,1.77852,2.4894,1.94213,0.22474,0.19253,0.11727,0.05164,2.52307,3.19458,2.64613,0.000597754,0.000597754,0.000597754
46,307.859,1.8715,2.49573,2.00739,0.16847,0.1954,0.086,0.03376,2.57939,3.22684,2.74331,0.000582435,0.000582435,0.000582435
47,313.29,1.78162,2.4427,1.94601,0.17448,0.23276,0.09454,0.03655,2.51941,3.30504,2.69833,0.00056704,0.00056704,0.00056704
48,318.706,1.81337,2.48367,1.99128,0.17531,0.2069,0.09615,0.04175,2.47846,3.35336,2.70702,0.000551584,0.000551584,0.000551584
49,324.072,1.78289,2.47652,1.94875,0.16618,0.24138,0.09511,0.04185,2.43263,3.05619,2.62463,0.000536081,0.000536081,0.000536081
50,329.539,1.76616,2.42258,1.91486,0.18976,0.20402,0.09039,0.03623,2.44394,3.10823,2.61598,0.000520548,0.000520548,0.000520548
51,334.923,1.72336,2.37243,1.89301,0.19467,0.18678,0.0968,0.04416,2.46535,3.05889,2.63015,0.000505,0.000505,0.000505
52,340.282,1.68546,2.32804,1.8851,0.22357,0.22414,0.13014,0.05697,2.49682,3.07791,2.62232,0.000489452,0.000489452,0.000489452
53,345.678,1.75807,2.42013,1.9226,0.21785,0.16379,0.10085,0.0432,2.50851,3.19177,2.7052,0.000473919,0.000473919,0.000473919
54,351.09,1.74355,2.42719,1.94494,0.19902,0.16954,0.08214,0.03486,2.4828,3.19584,2.69528,0.000458416,0.000458416,0.000458416
55,356.52,1.6609,2.28964,1.86553,0.19746,0.21839,0.10744,0.04709,2.47562,3.07162,2.63912,0.00044296,0.00044296,0.00044296
56,361.903,1.64489,2.18308,1.84041,0.20209,0.22989,0.11901,0.05157,2.42976,3.0659,2.60443,0.000427565,0.000427565,0.000427565
57,367.301,1.63332,2.19293,1.84712,0.19927,0.25862,0.12698,0.05329,2.42918,3.00233,2.59034,0.000412246,0.000412246,0.000412246
58,372.654,1.73666,2.30238,1.89666,0.20035,0.22989,0.11943,0.05367,2.41266,3.00172,2.54959,0.000397019,0.000397019,0.000397019
59,378.052,1.71613,2.27914,1.88396,0.19333,0.24425,0.11182,0.0509,2.43365,2.97382,2.56645,0.000381899,0.000381899,0.000381899
60,383.436,1.67349,2.28253,1.87157,0.20374,0.25,0.12363,0.05574,2.39236,3.01073,2.545,0.000366899,0.000366899,0.000366899
61,388.833,1.63918,2.17367,1.852,0.17756,0.25575,0.12011,0.05388,2.4702,3.05205,2.60335,0.000352037,0.000352037,0.000352037
